instruction,count,true_0,pred_0,true_1,pred_1,accuracy,precision,recall,f1_score,epoch
18,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
19,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
20,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
21,20.0,19.0,5.0,1.0,15.0,0.3,0.07,1.0,0.12,1
22,20.0,19.0,4.0,1.0,16.0,0.25,0.06,1.0,0.12,1
23,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
24,20.0,20.0,4.0,0.0,16.0,0.2,0.0,,,1
25,20.0,20.0,4.0,0.0,16.0,0.2,0.0,,,1
26,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
27,20.0,19.0,7.0,1.0,13.0,0.4,0.08,1.0,0.14,1
28,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
29,20.0,19.0,5.0,1.0,15.0,0.3,0.07,1.0,0.12,1
30,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
31,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
32,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
33,20.0,20.0,7.0,0.0,13.0,0.35,0.0,,,1
34,20.0,19.0,6.0,1.0,14.0,0.35,0.07,1.0,0.13,1
35,20.0,20.0,13.0,0.0,7.0,0.65,0.0,,,1
36,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
37,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
38,20.0,20.0,5.0,0.0,15.0,0.25,0.0,,,1
39,20.0,20.0,6.0,0.0,14.0,0.3,0.0,,,1
40,19.0,18.0,5.0,1.0,14.0,0.32,0.07,1.0,0.13,1
41,19.0,18.0,7.0,1.0,12.0,0.32,0.0,0.0,0.0,1
42,19.0,18.0,7.0,1.0,12.0,0.32,0.0,0.0,0.0,1
43,19.0,18.0,5.0,1.0,14.0,0.32,0.07,1.0,0.13,1
44,13.0,12.0,4.0,1.0,9.0,0.38,0.11,1.0,0.2,1
45,13.0,12.0,4.0,1.0,9.0,0.38,0.11,1.0,0.2,1
46,5.0,4.0,1.0,1.0,4.0,0.4,0.25,1.0,0.4,1
47,5.0,4.0,2.0,1.0,3.0,0.6,0.33,1.0,0.5,1
48,5.0,4.0,2.0,1.0,3.0,0.6,0.33,1.0,0.5,1
model,18.71,17.22,5.94,1.49,12.78,0.37,0.12,0.4,0.15,1
0,20.0,12.0,15.0,8.0,5.0,0.85,1.0,0.62,0.77,2
1,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
2,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
3,20.0,12.0,14.0,8.0,6.0,0.8,0.83,0.62,0.71,2
4,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,2
5,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
6,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
7,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
8,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
9,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
10,20.0,0.0,19.0,20.0,1.0,0.05,1.0,0.05,0.1,2
11,20.0,17.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,2
12,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
13,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
14,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
15,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
16,20.0,13.0,19.0,7.0,1.0,0.7,1.0,0.14,0.25,2
17,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
18,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
19,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
20,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
21,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
22,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
23,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
24,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
25,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
26,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
27,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
28,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
29,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
30,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
31,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
32,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
33,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
34,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
35,20.0,19.0,19.0,1.0,1.0,0.9,0.0,0.0,0.0,2
36,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
37,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
38,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
39,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
40,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
41,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
42,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
43,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2
44,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
45,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
46,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
47,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
48,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
49,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
50,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
51,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
52,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
53,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
54,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
55,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
56,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
57,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,2
58,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2
model,19.75,18.83,18.54,0.92,1.2,0.93,0.2,0.16,0.17,2
0,20.0,9.0,13.0,11.0,7.0,0.8,1.0,0.64,0.78,3
1,20.0,19.0,18.0,1.0,2.0,0.85,0.0,0.0,0.0,3
2,20.0,19.0,18.0,1.0,2.0,0.85,0.0,0.0,0.0,3
3,20.0,13.0,15.0,7.0,5.0,0.9,1.0,0.71,0.83,3
4,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
5,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
6,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
7,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
8,20.0,18.0,17.0,2.0,3.0,0.95,0.67,1.0,0.8,3
9,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
10,20.0,1.0,18.0,19.0,2.0,0.15,1.0,0.11,0.19,3
11,20.0,16.0,16.0,4.0,4.0,0.9,0.75,0.75,0.75,3
12,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
13,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
14,20.0,18.0,16.0,2.0,4.0,0.9,0.5,1.0,0.67,3
15,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
16,20.0,13.0,18.0,7.0,2.0,0.55,0.0,0.0,0.0,3
17,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
18,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
19,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
20,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
21,20.0,18.0,17.0,2.0,3.0,0.95,0.67,1.0,0.8,3
22,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
23,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
24,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
25,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
26,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,3
27,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,3
28,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
29,20.0,18.0,16.0,2.0,4.0,0.9,0.5,1.0,0.67,3
30,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
31,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
32,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
33,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
34,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
35,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
36,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
37,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
38,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
39,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
40,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
41,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
42,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
43,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
44,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
45,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
46,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
47,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
48,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
49,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
50,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
51,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,3
52,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,3
53,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
54,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
55,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
56,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
57,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
58,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
59,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
60,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
61,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,3
62,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,3
63,20.0,18.0,16.0,2.0,4.0,0.9,0.5,1.0,0.67,3
64,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
65,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
66,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,3
67,20.0,20.0,16.0,0.0,4.0,0.8,0.0,,,3
68,19.0,18.0,15.0,1.0,4.0,0.84,0.25,1.0,0.4,3
69,9.0,8.0,6.0,1.0,3.0,0.78,0.33,1.0,0.5,3
70,9.0,8.0,6.0,1.0,3.0,0.78,0.33,1.0,0.5,3
71,3.0,2.0,1.0,1.0,2.0,0.67,0.5,1.0,0.67,3
model,19.44,18.42,16.32,1.03,3.12,0.84,0.16,0.29,0.18,3
0,20.0,8.0,10.0,12.0,10.0,0.9,1.0,0.83,0.91,4
1,20.0,14.0,17.0,6.0,3.0,0.55,0.0,0.0,0.0,4
2,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,4
3,20.0,14.0,14.0,6.0,6.0,1.0,1.0,1.0,1.0,4
4,20.0,18.0,16.0,2.0,4.0,0.9,0.5,1.0,0.67,4
5,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
6,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
7,20.0,18.0,17.0,2.0,3.0,0.85,0.33,0.5,0.4,4
8,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
9,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
10,20.0,8.0,20.0,12.0,0.0,0.4,,0.0,,4
11,20.0,19.0,16.0,1.0,4.0,0.85,0.25,1.0,0.4,4
12,20.0,18.0,17.0,2.0,3.0,0.85,0.33,0.5,0.4,4
13,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
14,20.0,16.0,17.0,4.0,3.0,0.95,1.0,0.75,0.86,4
15,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
16,20.0,14.0,12.0,6.0,8.0,0.8,0.62,0.83,0.71,4
17,20.0,19.0,17.0,1.0,3.0,0.8,0.0,0.0,0.0,4
18,20.0,19.0,17.0,1.0,3.0,0.8,0.0,0.0,0.0,4
19,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
20,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
21,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
22,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
23,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
24,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
25,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
26,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
27,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
28,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
29,20.0,17.0,17.0,3.0,3.0,1.0,1.0,1.0,1.0,4
30,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
31,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
32,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,4
33,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
34,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
35,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,4
36,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
37,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
38,20.0,19.0,18.0,1.0,2.0,0.95,0.5,1.0,0.67,4
39,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
40,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
41,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
42,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
43,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
44,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
45,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
46,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
47,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
48,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
49,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
50,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
51,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
52,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
53,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
54,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
55,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
56,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
57,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
58,20.0,19.0,17.0,1.0,3.0,0.9,0.33,1.0,0.5,4
59,20.0,19.0,18.0,1.0,2.0,0.85,0.0,0.0,0.0,4
60,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
61,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
62,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
63,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
64,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
65,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
66,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
67,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
68,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
69,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
70,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
71,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
72,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
73,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
74,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
75,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
76,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
77,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
78,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
79,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
80,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
81,20.0,20.0,17.0,0.0,3.0,0.85,0.0,,,4
82,20.0,20.0,18.0,0.0,2.0,0.9,0.0,,,4
83,15.0,14.0,13.0,1.0,2.0,0.93,0.5,1.0,0.67,4
model,19.94,19.08,17.04,0.86,2.9,0.87,0.14,0.24,0.17,4
0,20.0,10.0,13.0,10.0,7.0,0.85,1.0,0.7,0.82,5
1,20.0,18.0,20.0,2.0,0.0,0.9,,0.0,,5
2,20.0,19.0,18.0,1.0,2.0,0.85,0.0,0.0,0.0,5
3,20.0,11.0,12.0,9.0,8.0,0.95,1.0,0.89,0.94,5
4,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
5,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
6,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
7,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
8,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
9,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
10,20.0,4.0,20.0,16.0,0.0,0.2,,0.0,,5
11,20.0,16.0,16.0,4.0,4.0,0.9,0.75,0.75,0.75,5
12,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
13,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
14,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,5
15,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
16,20.0,18.0,14.0,2.0,6.0,0.8,0.33,1.0,0.5,5
17,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
18,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
19,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
20,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
21,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
22,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
23,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
24,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
25,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
26,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
27,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
28,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
29,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
30,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
31,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
32,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
33,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
34,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
35,20.0,18.0,20.0,2.0,0.0,0.9,,0.0,,5
36,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
37,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
38,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
39,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
40,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
41,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,5
42,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
43,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,5
44,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
45,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,5
46,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
47,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
48,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
49,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
50,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
51,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
52,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
53,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
54,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
55,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
56,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
57,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
58,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
59,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
60,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
61,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
62,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
63,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
64,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
65,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
66,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
67,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
68,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
69,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
70,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
71,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
72,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
73,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
74,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
75,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
76,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
77,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
78,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
79,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
80,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
81,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
82,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
83,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
84,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
85,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
86,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
87,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
88,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,5
89,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
90,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
91,20.0,20.0,20.0,0.0,0.0,1.0,,,,5
92,9.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5
model,19.88,19.33,19.49,0.55,0.39,0.98,0.07,0.07,0.06,5
0,20.0,4.0,10.0,16.0,10.0,0.7,1.0,0.62,0.77,6
1,20.0,12.0,20.0,8.0,0.0,0.6,,0.0,,6
2,20.0,16.0,15.0,4.0,5.0,0.95,0.8,1.0,0.89,6
3,20.0,17.0,18.0,3.0,2.0,0.95,1.0,0.67,0.8,6
4,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
5,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
6,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
7,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
8,20.0,18.0,19.0,2.0,1.0,0.95,1.0,0.5,0.67,6
9,20.0,19.0,20.0,1.0,0.0,0.95,,0.0,,6
10,20.0,9.0,20.0,11.0,0.0,0.45,,0.0,,6
11,20.0,19.0,19.0,1.0,1.0,0.9,0.0,0.0,0.0,6
12,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
13,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
14,20.0,20.0,19.0,0.0,1.0,0.95,0.0,,,6
15,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
16,20.0,16.0,11.0,4.0,9.0,0.45,0.11,0.25,0.15,6
17,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
18,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
19,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,6
20,20.0,20.0,20.0,0.0,0.0,1.0,,,,6
21,20.0,18.0,19.0,2.0,1.0,0.95,1.0,0.5,0.67,6
22,20.0,19.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,6
